Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
`torch_dtype` is deprecated! Use `dtype` instead!
Loading model from registry: spatialvla-4b (IPEC-COMMUNITY/spatialvla-4b-224-pt)
  Architecture: gemma2, Auto class: AutoModel
  Applied SpatialVLA monkey-patch: _validate_images_text_input_order
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  5.53it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  4.62it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  4.74it/s]
  Loaded: 26L x 8H, hidden=2304, dtype=bfloat16
  Layers path: language_model.model.layers
Model loaded successfully.
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 269, 'total_seq_len': 269, 'num_vision_tokens': 256, 'num_text_tokens': 269, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 269)], 'text_ranges': [(256, 269)]}
  D1 [16/175] skill=turn H=4.154 top1=0.227
  Text input_ids length: 270
  Full sequence length (after vision expansion): 270
  Vision tokens (from seq diff): 0, Text tokens: 270
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 270, 'total_seq_len': 270, 'num_vision_tokens': 256, 'num_text_tokens': 270, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 270)], 'text_ranges': [(256, 270)]}
  D1 [17/175] skill=move H=3.838 top1=0.332
  Text input_ids length: 269
  Full sequence length (after vision expansion): 269
  Vision tokens (from seq diff): 0, Text tokens: 269
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 269, 'total_seq_len': 269, 'num_vision_tokens': 256, 'num_text_tokens': 269, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 269)], 'text_ranges': [(256, 269)]}
  D1 [18/175] skill=turn H=2.518 top1=0.483
  Text input_ids length: 269
  Full sequence length (after vision expansion): 269
  Vision tokens (from seq diff): 0, Text tokens: 269
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 269, 'total_seq_len': 269, 'num_vision_tokens': 256, 'num_text_tokens': 269, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 269)], 'text_ranges': [(256, 269)]}
  D1 [19/175] skill=turn H=1.767 top1=0.700
  Text input_ids length: 272
  Full sequence length (after vision expansion): 272
  Vision tokens (from seq diff): 0, Text tokens: 272
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 272, 'total_seq_len': 272, 'num_vision_tokens': 256, 'num_text_tokens': 272, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 272)], 'text_ranges': [(256, 272)]}
  D1 [20/175] skill=move H=3.210 top1=0.360
  Text input_ids length: 269
  Full sequence length (after vision expansion): 269
  Vision tokens (from seq diff): 0, Text tokens: 269
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 269, 'total_seq_len': 269, 'num_vision_tokens': 256, 'num_text_tokens': 269, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 269)], 'text_ranges': [(256, 269)]}
  D1 [21/175] skill=open H=3.633 top1=0.261
  Text input_ids length: 276
  Full sequence length (after vision expansion): 276
  Vision tokens (from seq diff): 0, Text tokens: 276
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 276, 'total_seq_len': 276, 'num_vision_tokens': 256, 'num_text_tokens': 276, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 276)], 'text_ranges': [(256, 276)]}
  D1 [22/175] skill=move H=3.039 top1=0.466
  Text input_ids length: 274
  Full sequence length (after vision expansion): 274
  Vision tokens (from seq diff): 0, Text tokens: 274
  (Processor-embedded vision tokens detected: 256 at [0:256])
  Token boundaries: {'vision_start': 0, 'vision_end': 256, 'text_start': 256, 'text_end': 274, 'total_seq_len': 274, 'num_vision_tokens': 256, 'num_text_tokens': 274, 'pre_image_tokens': 0, 'text_query_ranges': [(256, 274)], 'text_ranges': [(256, 274)]}
  D1 [23/175] skill=move H=3.278 top1=0.319
  Text input_ids length: 271
  Full sequence length (after vision expansion): 271
  Vision tokens (from seq diff): 0, Text tokens: 271
  (Processor-embedded vision tokens detected: 256 at [0:256])
